file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,cf679947,TakafumiM,2025-02-25,10:30:23,-08:00,2025-02-25T10:30:23-08:00,0,19
style.css,2,css,b1278a2e,TakafumiM,2025-01-16,22:05:53,-08:00,2025-01-16T22:05:53-08:00,0,6
style.css,3,css,b1278a2e,TakafumiM,2025-01-16,22:05:53,-08:00,2025-01-16T22:05:53-08:00,0,23
style.css,4,css,cf679947,TakafumiM,2025-02-25,10:30:23,-08:00,2025-02-25T10:30:23-08:00,0,42
style.css,5,css,b1278a2e,TakafumiM,2025-01-16,22:05:53,-08:00,2025-01-16T22:05:53-08:00,0,23
style.css,6,css,468b9148,TakafumiM,2025-01-31,15:25:47,-08:00,2025-01-31T15:25:47-08:00,0,22
style.css,7,css,87d9aabd,TakafumiM,2025-01-17,12:25:32,-08:00,2025-01-17T12:25:32-08:00,0,26
style.css,8,css,87d9aabd,TakafumiM,2025-01-17,12:25:32,-08:00,2025-01-17T12:25:32-08:00,0,13
style.css,9,css,87d9aabd,TakafumiM,2025-01-17,12:25:32,-08:00,2025-01-17T12:25:32-08:00,0,13
style.css,10,css,87d9aabd,TakafumiM,2025-01-17,12:25:32,-08:00,2025-01-17T12:25:32-08:00,0,15
style.css,11,css,cf679947,TakafumiM,2025-02-25,10:30:23,-08:00,2025-02-25T10:30:23-08:00,0,40
style.css,12,css,533bb96b,TakafumiM,2025-01-23,21:08:33,-08:00,2025-01-23T21:08:33-08:00,0,0
style.css,13,css,533bb96b,TakafumiM,2025-01-23,21:08:33,-08:00,2025-01-23T21:08:33-08:00,0,0
style.css,14,css,cf679947,TakafumiM,2025-02-25,10:30:23,-08:00,2025-02-25T10:30:23-08:00,0,19
style.css,15,css,533bb96b,TakafumiM,2025-01-23,21:08:33,-08:00,2025-01-23T21:08:33-08:00,0,5
style.css,16,css,533bb96b,TakafumiM,2025-01-23,21:08:33,-08:00,2025-01-23T21:08:33-08:00,0,24
style.css,17,css,b1278a2e,TakafumiM,2025-01-16,22:05:53,-08:00,2025-01-16T22:05:53-08:00,0,0
style.css,18,css,b1278a2e,TakafumiM,2025-01-16,22:05:53,-08:00,2025-01-16T22:05:53-08:00,0,0
